Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	-4	36.1335	33.2585	99.896	
1	13	36.1492	33.2593	99.942	
1	29	36.1598	33.2035	99.8957	
1	46	36.1561	33.2254	100.004	
1	63	36.1858	33.2169	99.9695	
1	79	36.1868	33.1614	99.9279	
1	96	36.2158	33.126	99.85	
1	113	36.1932	33.1466	99.9274	
1	129	36.1733	33.1772	99.94	
1	146	36.195	33.1633	99.9189	
1	163	36.1883	33.1735	99.8669	
1	179	36.1527	33.2008	99.9046	
1	196	36.1658	33.1746	99.7971	
1	213	36.1725	33.1747	99.8401	
1	229	36.1525	33.2436	99.8332	
1	246	36.1142	33.285	99.9112	
1	263	36.1434	33.2436	99.8083	
1	279	36.1661	33.2647	99.8216	
1	296	36.1387	33.2847	99.81	
1	313	36.1498	33.3177	99.8372	
1	329	36.1718	33.2902	99.8044	
1	346	36.1701	33.3033	99.7502	
1	363	36.1474	33.3602	99.8201	
1	379	36.16	33.3332	99.7227	
1	396	36.1638	33.4144	99.8244	
1	413	36.1309	33.4216	99.7347	
1	429	36.1201	33.4685	99.7915	
1	446	36.1533	33.45	99.6671	
1	463	36.1212	33.4727	99.6866	
1	479	36.0865	33.5877	99.7587	
1	496	36.0852	33.5994	99.7856	
1	513	36.1054	33.5839	99.7131	
1	529	36.096	33.621	99.6682	
1	546	36.0808	33.6223	99.6653	
1	563	36.1145	33.6623	99.679	
1	579	36.1131	33.6487	99.6633	
1	596	36.101	33.672	99.6942	
1	613	36.1021	33.6797	99.7485	
1	629	36.1315	33.6423	99.6991	
1	646	36.1404	33.668	99.7111	
1	663	36.1467	33.6654	99.7019	
1	679	36.1597	33.653	99.6984	
1	696	36.1715	33.6483	99.7152	
1	713	36.1682	33.642	99.68	
1	729	36.1458	33.7301	99.7866	
1	746	36.1564	33.7547	99.7584	
1	763	36.1488	33.7535	99.7101	
1	779	36.1272	33.7738	99.6808	
1	796	36.1282	33.7957	99.6842	
1	813	36.1408	33.7967	99.6553	
1	829	36.0978	33.8246	99.7067	
1	846	36.0942	33.9258	99.794	
1	863	36.1183	33.9012	99.7781	
1	879	36.1097	33.8988	99.7223	
1	896	36.1043	33.9705	99.7762	
1	913	36.1054	33.945	99.7528	
1	929	36.1277	33.9056	99.6565	
1	946	36.1137	33.9483	99.6857	
1	963	36.0961	34.0011	99.7397	
1	979	36.1024	34.0252	99.7941	
1	996	36.09	34.0197	99.7486	
1	1013	36.065	34.0642	99.7633	
1	1029	36.0639	34.037	99.6714	
1	1046	36.0635	34.0545	99.6908	
1	1063	36.0413	34.0686	99.6474	
1	1079	36.0162	34.1466	99.7715	
1	1096	36.0016	34.1703	99.7445	
1	1113	35.9947	34.1467	99.7658	
1	1129	36.0032	34.1457	99.7321	
1	1146	35.9966	34.1459	99.7498	
1	1163	35.9961	34.1546	99.726	
1	1179	36.0084	34.1685	99.7921	
1	1196	35.9984	34.1589	99.7865	
1	1213	35.9863	34.1573	99.8737	
1	1229	36.0105	34.0771	99.7791	
1	1246	36.0178	34.051	99.8029	
1	1263	36.0223	34.0474	99.8114	
1	1279	36.036	34.0313	99.8613	
1	1296	36.0498	34.0182	99.8961	
1	1313	36.0342	34.0296	99.8951	
1	1329	36.022	34.0166	99.9796	
1	1346	36.0292	34.0118	99.9463	
1	1363	36.0232	34.0231	99.9655	
1	1379	36.0129	34.0096	99.9266	
1	1396	36.0071	34.0332	100.022	
1	1413	36.0223	33.9815	99.9626	
1	1429	35.9975	33.9915	100.072	
1	1446	35.9858	34.0162	100.095	
1	1463	35.9995	34.0131	100.174	
1	1479	36.0195	33.9457	100.101	
1	2329	36.7606	30.8754	101.78	
1	2346	36.7743	30.7711	101.795	
1	2363	36.7971	30.6511	101.89	
1	2379	36.827	30.5182	101.924	
1	2396	36.8101	30.4199	101.993	
1	2413	36.7846	30.3278	102.017	
1	2429	36.8232	30.1887	102.023	
1	2446	36.7746	30.0657	102.024	
1	2463	36.7878	29.9875	102.079	
1	2479	36.8062	29.8454	102.068	
1	2496	36.8361	29.6955	102.013	
2	-4	32.6169	34.0425	101.628	
2	13	32.6299	34.0392	101.671	
2	29	32.6419	33.9875	101.625	
2	46	32.6388	34.0132	101.733	
2	63	32.6687	34.0075	101.698	
2	79	32.6691	33.9526	101.655	
2	96	32.702	33.9248	101.581	
2	113	32.6817	33.9498	101.661	
2	129	32.6584	33.9737	101.67	
2	146	32.6822	33.9616	101.652	
2	163	32.6761	33.9693	101.602	
2	179	32.6421	33.9978	101.643	
2	196	32.658	33.9731	101.54	
2	213	32.6656	33.9717	101.586	
2	229	32.6446	34.0351	101.579	
2	246	32.605	34.0724	101.657	
2	263	32.6381	34.0377	101.559	
2	279	32.6592	34.0543	101.571	
2	296	32.6315	34.0734	101.559	
2	313	32.6413	34.1046	101.584	
2	329	32.6649	34.0797	101.553	
2	346	32.663	34.0921	101.499	
2	363	32.638	34.144	101.567	
2	379	32.6545	34.1226	101.475	
2	396	32.6566	34.198	101.576	
2	413	32.6244	34.2034	101.488	
2	429	32.6141	34.2495	101.546	
2	446	32.6518	34.2353	101.429	
2	463	32.6204	34.2557	101.451	
2	479	32.5834	34.3624	101.522	
2	496	32.5844	34.3769	101.552	
2	513	32.6064	34.3618	101.483	
2	529	32.5965	34.3947	101.439	
2	546	32.5846	34.4022	101.44	
2	563	32.6179	34.4415	101.453	
2	579	32.6153	34.4255	101.436	
2	596	32.6038	34.4517	101.467	
2	613	32.604	34.4601	101.519	
2	629	32.6346	34.4264	101.47	
2	646	32.6428	34.4525	101.481	
2	663	32.6504	34.4528	101.472	
2	679	32.6645	34.4438	101.469	
2	696	32.6756	34.4376	101.486	
2	713	32.6727	34.4299	101.452	
2	729	32.6507	34.5191	101.559	
2	746	32.6621	34.5427	101.533	
2	763	32.6562	34.5402	101.488	
2	779	32.6382	34.5654	101.464	
2	796	32.6408	34.5876	101.47	
2	813	32.6522	34.5826	101.442	
2	829	32.6095	34.609	101.494	
2	846	32.6046	34.7075	101.58	
2	863	32.6294	34.6832	101.565	
2	879	32.6206	34.6788	101.51	
