Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	-4	29.5706	95.6175	124.514	
2	-4	27.7329	97.0516	123.815	
3	-4	22.8828	98.4749	122.616	
4	-4	20.463	98.2616	122.274	
5	-4	15.7293	96.0734	122.074	
6	-4	13.9672	94.3717	122.233	
7	-4	11.5947	89.7386	123.055	
8	-4	11.2593	87.4003	123.606	
9	-4	12.3629	82.4442	125.044	
10	-4	13.6282	80.5276	125.685	
11	-4	17.8633	77.621	126.802	
12	-4	20.1319	77.1108	127.062	
13	-4	25.2802	77.9924	126.961	
14	-4	27.22	79.2314	126.634	
15	-4	30.1139	83.4578	125.461	
16	-4	30.6047	85.7115	124.901	
17	-4	29.847	90.8351	123.898	
18	-4	28.7042	92.9377	123.696	
19	-4	24.8722	96.4401	124.061	
20	-4	22.699	97.3007	124.68	
21	-4	17.5978	93.7841	120.611	
22	-4	15.3157	86.5323	114.136	

