Sensor_Positions_2.0
Sensor#	Time	X	Y	Z
1	-4	5.00238	48.0298	110.083	
1	13	5.00805	48.0279	110.081	
1	29	5.00511	48.03	110.077	
1	46	5.01035	48.0325	110.089	
1	63	5.00759	48.0346	110.086	
1	79	5.0184	48.0384	110.096	
1	96	5.01893	48.0423	110.1	
1	113	5.01725	48.0444	110.112	
1	129	5.02455	48.0504	110.119	
1	146	5.0225	48.054	110.134	
1	163	5.02281	48.0599	110.145	
1	179	5.02238	48.0624	110.154	
1	196	5.02324	48.0649	110.163	
1	213	5.01381	48.0699	110.158	
1	229	5.00639	48.0715	110.149	
1	246	4.99794	48.0797	110.149	
1	263	4.9905	48.0762	110.138	
1	279	4.99966	48.0828	110.135	
1	296	4.99878	48.0838	110.134	
1	313	4.99228	48.0886	110.131	
1	329	4.9891	48.0911	110.129	
1	346	4.98722	48.0974	110.128	
1	363	4.97565	48.0973	110.122	
1	379	4.97751	48.1061	110.122	
1	396	4.9661	48.1124	110.13	
1	413	4.96463	48.1189	110.13	
1	429	4.95527	48.1208	110.137	
1	446	4.94596	48.1278	110.13	
1	463	4.93383	48.1256	110.144	
1	479	4.92943	48.1327	110.139	
1	496	4.93039	48.132	110.14	
1	513	4.92184	48.1268	110.145	
1	529	4.91261	48.1286	110.15	
1	546	4.90958	48.1306	110.144	
1	563	4.91143	48.1294	110.147	
1	579	4.90871	48.1353	110.147	
1	596	4.89923	48.1294	110.142	
1	613	4.89701	48.1302	110.137	
1	629	4.89688	48.1273	110.143	
1	646	4.90498	48.1206	110.15	
1	663	4.90957	48.1158	110.154	
1	679	4.90812	48.1151	110.164	
1	696	4.90621	48.1168	110.174	
1	713	4.90986	48.1143	110.183	
1	729	4.91191	48.1086	110.193	
1	746	4.91333	48.1082	110.214	
1	763	4.91759	48.1106	110.233	
1	779	4.91405	48.1038	110.24	
1	796	4.91936	48.1012	110.248	
1	813	4.91161	48.0909	110.245	
1	829	4.90811	48.0819	110.248	
1	846	4.91222	48.081	110.247	
1	863	4.90558	48.0756	110.245	
1	879	4.91423	48.0703	110.238	
1	896	4.91029	48.058	110.228	
1	913	4.92449	48.0564	110.229	
1	929	4.92594	48.0464	110.227	
1	946	4.92697	48.0339	110.221	
1	963	4.93207	48.0249	110.217	
1	979	4.9374	48.0164	110.217	
1	996	4.94622	48.0103	110.222	
1	1013	4.94438	48.0033	110.233	
1	1029	4.95894	47.9934	110.227	
1	1046	4.95487	47.9795	110.226	
1	1063	4.95872	47.968	110.229	
1	1079	4.96861	47.9503	110.23	
1	1096	4.98737	47.9333	110.236	
1	1113	4.99592	47.9119	110.235	
1	1129	5.01293	47.8981	110.231	
1	1146	5.0243	47.8754	110.229	
1	1163	5.04563	47.8561	110.232	
1	1179	5.06196	47.8366	110.224	
1	1196	5.07829	47.8146	110.219	
1	1213	5.09423	47.7972	110.211	
1	1229	5.11515	47.7658	110.213	
1	1246	5.14115	47.7436	110.22	
1	1263	5.17129	47.7138	110.229	
1	1279	5.19962	47.6915	110.238	
