Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	-4	28.5352	96.4289	123.725	
1	13	28.5194	96.364	123.709	
1	29	28.5318	96.3529	123.629	
1	46	28.4987	96.3399	123.698	
1	63	28.5143	96.3812	123.722	
1	79	28.4991	96.3061	123.632	
1	96	28.5447	96.3897	123.587	
1	113	28.507	96.4128	123.689	
1	129	28.4517	96.3546	123.699	
1	146	28.5118	96.3786	123.678	
1	163	28.5266	96.3472	123.615	
1	179	28.4689	96.3752	123.701	
1	196	28.5283	96.4174	123.647	
1	213	28.556	96.3353	123.593	
1	229	28.5354	96.3945	123.634	
1	246	28.4839	96.3665	123.701	
1	263	28.5538	96.4326	123.605	
1	279	28.5633	96.3931	123.561	
1	296	28.4965	96.4429	123.585	
1	313	28.4818	96.4497	123.596	
1	329	28.5272	96.4379	123.512	
1	346	28.5073	96.4781	123.513	
1	363	28.4398	96.4724	123.597	
1	379	28.491	96.5243	123.527	
1	396	28.4704	96.4791	123.579	
1	413	28.4322	96.5229	123.561	
1	429	28.41	96.5511	123.639	
1	446	28.4987	96.6173	123.535	
1	463	28.4622	96.59	123.541	
1	479	28.4023	96.6083	123.676	
1	496	28.4229	96.6038	123.688	
1	513	28.4737	96.6078	123.606	
1	529	28.4575	96.6506	123.599	
1	546	28.4492	96.7233	123.639	
1	563	28.4828	96.7581	123.67	
1	579	28.477	96.7005	123.604	
1	596	28.4481	96.7541	123.652	
1	613	28.4119	96.7411	123.673	
1	629	28.4499	96.7599	123.608	
1	646	28.4354	96.7781	123.632	
1	663	28.4218	96.8614	123.681	
1	679	28.4268	96.8708	123.707	
1	696	28.4361	96.837	123.704	
1	713	28.4237	96.8532	123.703	
1	729	28.3761	96.8927	123.848	
1	746	28.3911	96.8958	123.839	
1	763	28.4095	96.8735	123.777	
1	779	28.4029	96.9735	123.842	
1	796	28.4203	97.0038	123.905	
1	813	28.4655	96.9616	123.854	
1	829	28.4012	96.9343	123.871	
1	846	28.3888	96.996	124.011	
1	863	28.4241	96.9495	123.908	
1	879	28.4042	96.968	123.84	
1	896	28.3586	97.0317	123.938	
1	913	28.3629	97.0318	123.911	
1	929	28.399	97.0193	123.797	
1	946	28.3539	97.035	123.844	
1	963	28.3033	97.0607	123.943	
1	979	28.2988	97.005	123.94	
1	996	28.2952	96.997	123.878	
1	1013	28.2587	97.0157	123.929	
1	1029	28.2795	97.0609	123.891	
1	1046	28.2736	97.0058	123.879	
1	1063	28.2898	97.0522	123.86	
1	1079	28.2415	97.0191	123.971	
1	1096	28.2588	97.03	123.963	
1	1113	28.2702	97.0158	123.964	
1	1129	28.3093	97.0021	123.91	
1	1146	28.294	96.9552	123.902	
1	1163	28.3092	97.0212	123.921	
1	1179	28.3034	96.9398	123.923	
1	1196	28.2986	96.9644	123.911	
1	1213	28.2602	96.9308	123.96	
1	1229	28.3085	96.9534	123.861	
1	1246	28.3019	96.8846	123.857	
1	1263	28.3013	96.9365	123.904	
1	1279	28.2878	96.9431	123.926	
1	1296	28.3069	96.8937	123.917	
1	1313	28.2922	96.847	123.924	
1	1329	28.2698	96.8356	123.999	
1	1346	28.3178	96.8442	124.005	
1	1363	28.3397	96.7899	123.996	
1	1379	28.3594	96.8198	124.006	
1	1396	28.3556	96.7808	124.093	
1	1413	28.4258	96.7542	123.996	
1	1429	28.4118	96.667	124.033	
1	1446	28.4073	96.7004	124.096	
1	1463	28.4168	96.6358	124.098	
1	1479	28.4686	96.6436	123.994	
1	1496	28.4315	96.6265	124.036	
1	1513	28.4466	96.6128	124.015	
1	1529	28.4984	96.5845	123.982	
1	1546	28.494	96.5401	124.002	
1	1563	28.496	96.5512	124.054	
1	1579	28.5088	96.4773	124.086	
1	1596	28.5668	96.4864	124.06	
1	1613	28.5368	96.4566	124.125	
1	1629	28.5827	96.5023	124.084	
1	1646	28.6144	96.4156	124.062	
1	1663	28.6724	96.4099	124.034	
1	1679	28.6331	96.3494	124.194	
1	1696	28.7245	96.3869	124.19	
1	1713	28.7525	96.2915	124.215	
1	1729	28.825	96.3174	124.143	
1	1746	28.8443	96.2315	124.211	
1	1763	28.9606	96.2547	124.186	
1	1779	28.9828	96.1846	124.206	
1	1796	28.9769	96.1746	124.255	
1	1813	29.0231	96.1606	124.315	
1	1829	29.0776	96.0793	124.245	
1	1846	29.1184	96.067	124.251	
1	1863	29.134	96.0225	124.334	
1	1879	29.2402	95.9891	124.25	
1	1896	29.2895	95.9306	124.262	
1	1913	29.3008	95.9481	124.379	
1	1929	29.3051	95.8283	124.495	
1	1946	29.4103	95.7567	124.394	
1	1963	29.4192	95.6895	124.483	
1	1979	29.4943	95.7021	124.509	
1	1996	29.5706	95.6175	124.514	
