Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	-4	5.68041	40.1319	158.967	
1	13	5.71812	40.1038	158.952	
1	29	5.77607	40.0382	158.951	
1	46	5.70089	40.1404	158.979	
1	63	5.80805	40.0243	158.988	
1	79	5.79161	40.0484	158.983	
1	96	5.74854	40.025	159.011	
1	113	5.69652	40.095	158.987	
1	129	5.69326	40.149	159.064	
1	146	5.81112	40.0913	159.023	
1	163	5.84851	40.0535	159	
1	179	5.86452	40.0991	159.018	
1	196	5.97628	39.9686	159.023	
1	213	5.99414	39.945	159.004	
1	229	6.05307	39.8543	159.01	
1	246	6.08849	39.9779	159.025	
1	263	6.21574	39.8206	159.005	
1	279	6.26634	39.817	158.937	
1	296	6.24028	39.8625	159.004	
1	313	6.34258	39.8	158.941	
1	329	6.3882	39.7237	158.889	
1	346	6.31326	39.8116	158.909	
1	363	6.31048	39.8637	158.924	
1	379	6.2937	39.8926	158.907	
1	396	6.38179	39.7749	158.875	
1	413	6.3155	39.8558	158.88	
1	429	6.34886	39.8112	158.862	
1	446	6.40374	39.7311	158.846	
1	463	6.45852	39.6906	158.84	
1	479	6.43754	39.7048	158.884	
1	496	6.52904	39.6431	158.86	
1	513	6.59808	39.6168	158.835	
1	529	6.66656	39.5476	158.792	
1	546	6.63351	39.5437	158.799	
1	563	6.55406	39.6654	158.8	
1	579	6.51952	39.6267	158.815	
1	596	6.5586	39.6004	158.791	
1	613	6.52792	39.5786	158.833	
1	629	6.56302	39.5388	158.785	
1	646	6.61879	39.3899	158.788	
1	663	6.64206	39.3778	158.808	
1	679	6.66036	39.3866	158.824	
1	696	6.59315	39.397	158.828	
1	713	6.60736	39.2816	158.842	
1	729	6.58069	39.3161	158.854	
1	746	6.62073	39.2895	158.867	
1	763	6.58801	39.3112	158.847	
1	779	6.59538	39.2969	158.86	
1	796	6.5453	39.285	158.904	
1	813	6.5497	39.2609	158.877	
1	829	6.52114	39.2059	158.901	
1	846	6.61681	39.1088	158.924	
1	863	6.60066	39.0828	158.922	
1	879	6.66564	39.0012	158.9	
1	896	6.65986	38.9729	158.911	
1	913	6.69962	38.8756	158.917	
1	929	6.70344	38.8176	158.914	
1	946	6.61614	38.8026	158.94	
1	963	6.61812	38.7645	158.96	
1	979	6.57691	38.7372	158.975	
1	996	6.52158	38.7665	158.984	
1	1013	6.39067	38.816	159.043	
1	1029	6.36486	38.8005	159.038	
1	1046	6.32531	38.7085	159.061	
1	1063	6.25698	38.6892	159.076	
1	1079	6.18567	38.6469	159.154	
1	1096	6.22973	38.6044	159.178	
1	1113	6.22603	38.5159	159.198	
1	1129	6.24032	38.4156	159.195	
1	1146	6.13007	38.4091	159.241	
1	1163	6.12483	38.335	159.256	
1	1179	6.00924	38.2939	159.317	
1	1196	5.87843	38.3226	159.361	
1	1213	5.77964	38.3648	159.411	
1	1229	5.65714	38.3104	159.427	
1	1246	5.57187	38.2738	159.448	
1	1263	5.40992	38.2698	159.527	
1	1279	5.37947	38.1915	159.499	
1	1296	5.33269	38.0146	159.563	
1	1313	5.22176	38.0891	159.624	
1	1329	5.15369	38.0156	159.692	
1	1346	5.13834	37.9124	159.666	
1	1363	5.14702	37.7374	159.726	
1	1379	5.07887	37.7079	159.755	
1	1396	4.96109	37.6622	159.821	
1	1413	4.93648	37.587	159.815	
1	1429	4.88226	37.5229	159.897	
1	1446	4.75304	37.5857	159.91	
1	1463	4.71573	37.4281	159.913	
1	1479	4.59995	37.3988	159.97	
1	1496	4.55113	37.3296	160	
1	1513	4.41226	37.3338	160.005	
1	1529	4.32145	37.3151	160.012	
1	1546	4.25933	37.2121	160.066	
1	1563	4.22616	37.0852	160.079	
1	1579	4.15123	37.008	160.143	
1	1596	4.15602	36.9454	160.134	
1	1613	4.04708	36.7738	160.188	
1	1629	3.93135	36.8355	160.233	
1	1646	3.88872	36.7512	160.253	
1	1663	3.77314	36.7005	160.302	
1	1679	3.70583	36.5248	160.349	
1	1696	3.62297	36.5579	160.367	
1	1713	3.60708	36.4478	160.439	
1	1729	3.57636	36.3258	160.411	
1	1746	3.51328	36.2561	160.497	
1	1763	3.46664	36.1802	160.514	
1	1779	3.41056	36.0421	160.542	
1	1796	3.22298	36.0575	160.584	
1	1813	3.25251	35.916	160.651	
1	1829	3.06471	35.8251	160.778	
1	1846	2.9533	35.6655	160.836	
1	1863	2.83168	35.6552	160.87	
1	1879	2.7262	35.5239	160.914	
1	1896	2.69043	35.4078	160.877	
1	1913	2.52522	35.3696	160.981	
1	1929	2.44568	35.3236	161.006	
1	1946	2.45922	35.1267	161.037	
1	1963	2.36368	35.0835	161.045	
1	1979	2.31212	35.0003	161.106	
1	1996	2.22939	34.9076	161.119	
1	2013	2.26333	34.6868	161.14	
1	2029	2.18149	34.653	161.185	
1	2046	2.1181	34.5709	161.239	
1	2063	2.08073	34.4888	161.229	
1	2079	2.01874	34.3795	161.272	
1	2096	1.89515	34.3529	161.276	
1	2113	1.81911	34.279	161.309	
1	2129	1.7136	34.2148	161.284	
1	2146	1.65895	34.1013	161.368	
1	2163	1.51301	34.1446	161.383	
1	2179	1.45188	33.9928	161.416	
1	2196	1.411	33.8776	161.419	
1	2213	1.37017	33.7355	161.469	
1	2229	1.26618	33.7026	161.491	
1	2246	1.17885	33.627	161.472	
1	2263	1.09314	33.4697	161.526	
1	2279	0.961804	33.4331	161.607	
1	2296	0.841346	33.403	161.59	
1	2313	0.764045	33.2878	161.6	
1	2329	0.662307	33.214	161.623	
1	2346	0.597162	33.1219	161.657	
1	2363	0.441018	33.0944	161.692	
1	2379	0.334509	32.9737	161.67	
1	2396	0.23533	32.8728	161.753	
1	2413	0.0858696	32.9003	161.741	
1	2429	0.030404	32.738	161.728	
1	2446	-0.202221	32.7042	161.81	
1	2463	-0.231005	32.5611	161.809	
1	2479	-0.375143	32.5677	161.827	
1	2496	-0.467458	32.4603	161.795	
2	-4	6.35157	42.9362	152.769	
2	13	6.33876	42.9533	152.769	
2	29	6.3816	42.9029	152.774	
2	46	6.35612	42.9483	152.781	
2	63	6.38109	42.9089	152.818	
2	79	6.37195	42.9274	152.811	
2	96	6.36231	42.8736	152.828	
2	113	6.31921	42.9386	152.803	
2	129	6.311	42.9906	152.878	
2	146	6.34833	43.0044	152.863	
2	163	6.39116	42.9597	152.837	
