Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	-4	5.46712	48.4643	110.042	
1	13	5.45648	48.4743	110.042	
1	29	5.4526	48.4801	110.046	
1	46	5.45404	48.4822	110.04	
1	63	5.44255	48.4796	110.028	
1	79	5.44067	48.491	110.031	
1	96	5.43045	48.4997	110.041	
1	113	5.43083	48.5033	110.039	
1	129	5.4203	48.507	110.048	
1	146	5.40874	48.5141	110.041	
1	163	5.39934	48.5094	110.055	
1	179	5.3945	48.5145	110.045	
1	196	5.39476	48.5158	110.048	
1	213	5.38753	48.5095	110.053	
1	229	5.37519	48.5142	110.061	
1	246	5.37337	48.5156	110.055	
1	263	5.3776	48.5106	110.056	
1	279	5.37313	48.5189	110.058	
1	296	5.36544	48.5109	110.052	
1	313	5.36507	48.5102	110.045	
1	329	5.36284	48.5106	110.056	
1	346	5.3729	48.5046	110.062	
1	363	5.37708	48.4956	110.062	
1	379	5.37394	48.4952	110.073	
1	396	5.37025	48.4981	110.084	
1	413	5.37783	48.4967	110.094	
1	429	5.38036	48.4874	110.099	
1	446	5.3789	48.4878	110.122	
1	463	5.38355	48.4915	110.143	
1	479	5.38179	48.4821	110.15	
1	496	5.38617	48.478	110.155	
1	513	5.37658	48.4709	110.157	
1	529	5.37597	48.4605	110.157	
1	546	5.38245	48.4568	110.153	
1	563	5.37199	48.453	110.153	
1	579	5.38304	48.4482	110.15	
1	596	5.38049	48.4335	110.137	
1	613	5.39526	48.4324	110.139	
1	629	5.39327	48.4234	110.139	
1	646	5.39659	48.409	110.132	
1	663	5.40265	48.3994	110.126	
1	679	5.4058	48.3913	110.125	
1	696	5.41468	48.3847	110.133	
1	713	5.41389	48.3762	110.141	
1	729	5.42892	48.3686	110.139	
1	746	5.42132	48.3564	110.139	
1	763	5.42795	48.3435	110.142	
1	779	5.43901	48.3227	110.136	
1	796	5.45633	48.3056	110.145	
1	813	5.46149	48.2864	110.145	
1	829	5.48208	48.2742	110.145	
1	846	5.49223	48.2506	110.14	
1	863	5.51237	48.2313	110.146	
1	879	5.52931	48.2128	110.139	
1	896	5.54959	48.1883	110.131	
1	913	5.56033	48.1715	110.122	
1	929	5.58178	48.1429	110.128	
1	946	5.60906	48.1213	110.136	
1	963	5.64111	48.0898	110.141	
1	979	5.66549	48.0731	110.158	
1	996	5.67955	48.0464	110.159	
1	1013	5.71278	48.0255	110.168	
1	1029	5.73036	47.9936	110.174	
1	1046	5.76007	47.9796	110.196	
1	1063	5.78147	47.9492	110.211	
1	1079	5.81204	47.9305	110.223	
1	1096	5.83	47.9036	110.239	
1	1113	5.84491	47.8763	110.233	
1	1129	5.86281	47.852	110.229	
1	1146	5.88206	47.8316	110.224	
1	1163	5.90481	47.8061	110.228	
1	1179	5.932	47.7824	110.214	
1	1196	5.94668	47.7557	110.216	
1	1213	5.96778	47.7414	110.212	
1	1229	5.9875	47.7156	110.204	
1	1246	6.01966	47.6968	110.2	
1	1263	6.02964	47.6849	110.203	
1	1279	6.04629	47.6615	110.191	
1	1296	6.06271	47.642	110.196	
1	1313	6.08491	47.6268	110.2	
1	1329	6.10346	47.601	110.196	
1	1346	6.11418	47.5885	110.192	
1	1363	6.11876	47.5741	110.202	
1	1379	6.14718	47.559	110.206	
1	1396	6.15625	47.5321	110.193	
1	1413	6.18052	47.5103	110.204	
1	1429	6.20165	47.5008	110.207	
1	1446	6.2236	47.4723	110.194	
1	1463	6.24342	47.4564	110.192	
1	1479	6.26035	47.4454	110.187	
1	1496	6.28264	47.4182	110.176	
1	1513	6.3082	47.4012	110.168	
1	1529	6.31841	47.3905	110.175	
1	1546	6.35713	47.3654	110.177	
1	1563	6.37597	47.3348	110.169	
1	1579	6.41419	47.3182	110.192	
1	1596	6.4357	47.3038	110.199	
1	1613	6.45957	47.2795	110.198	
1	1629	6.48047	47.2574	110.204	
1	1646	6.50678	47.2469	110.221	
1	1663	6.53394	47.2264	110.243	
1	1679	6.5548	47.205	110.25	
1	1696	6.57922	47.1928	110.256	
1	1713	6.57954	47.1708	110.246	
