Sensor_Positions_2.0
Sensor#	Time	X	Y	Z
1	-4	17.1929	96.0493	119.924	
1	13	17.1801	96.0562	119.924	
1	29	17.1806	96.0635	119.926	
1	46	17.1617	96.0672	119.93	
1	63	17.1395	96.0711	119.934	
1	79	17.1348	96.0824	119.938	
1	96	17.1273	96.0881	119.949	
1	113	17.1119	96.1004	119.957	
1	129	17.1019	96.1031	119.956	
1	146	17.0983	96.1115	119.962	
1	163	17.0849	96.1151	119.972	
1	179	17.0859	96.1126	119.981	
1	196	17.0856	96.1124	119.987	
1	213	17.0886	96.1122	119.992	
1	229	17.0911	96.1077	119.993	
1	246	17.0862	96.1105	119.998	
1	263	17.0777	96.109	119.994	
1	279	17.0712	96.1105	119.988	
1	296	17.0607	96.1122	119.983	
1	313	17.065	96.111	119.981	
1	329	17.0666	96.106	119.986	
1	346	17.0712	96.1002	119.996	
1	363	17.0757	96.0926	120.008	
1	379	17.0739	96.0927	120.018	
1	396	17.0757	96.0865	120.037	
1	413	17.0784	96.0855	120.055	
1	429	17.0909	96.0788	120.073	
1	446	17.1046	96.0688	120.095	
1	463	17.1134	96.0591	120.122	
1	479	17.1345	96.046	120.141	
1	496	17.1353	96.036	120.147	
1	513	17.1528	96.0233	120.147	
1	529	17.1574	96.0097	120.146	
1	546	17.1688	95.9937	120.149	
1	563	17.1831	95.9831	120.139	
1	579	17.1897	95.9641	120.128	
1	596	17.1988	95.9513	120.119	
1	613	17.2072	95.9365	120.112	
1	629	17.2221	95.9215	120.112	
1	646	17.2382	95.9058	120.107	
1	663	17.2547	95.892	120.104	
1	679	17.2627	95.8692	120.102	
1	696	17.2836	95.8533	120.106	
1	713	17.306	95.8318	120.111	
1	729	17.3331	95.8089	120.107	
1	746	17.3635	95.7898	120.106	
1	763	17.3937	95.7621	120.111	
1	779	17.4202	95.7287	120.116	
1	796	17.469	95.6954	120.113	
1	813	17.5093	95.6654	120.113	
1	829	17.5572	95.6267	120.112	
1	846	17.5946	95.5952	120.108	
1	863	17.6376	95.5637	120.099	
1	879	17.6828	95.5313	120.084	
1	896	17.7215	95.4943	120.074	
1	913	17.7637	95.459	120.065	
1	929	17.8118	95.4172	120.069	
1	946	17.8705	95.3803	120.073	
1	963	17.9218	95.3452	120.079	
1	979	17.9658	95.3053	120.089	
1	996	18.0187	95.2665	120.103	
1	1013	18.0698	95.2267	120.113	
1	1029	18.1224	95.1856	120.128	
1	1046	18.1868	95.1468	120.15	
1	1063	18.245	95.1015	120.169	
1	1079	18.3006	95.0642	120.187	
1	1096	18.3504	95.0217	120.186	
1	1113	18.4033	94.9799	120.182	
1	1129	18.4592	94.9425	120.175	
1	1146	18.5039	94.8977	120.166	
1	1163	18.5541	94.8538	120.155	
1	1179	18.5987	94.8191	120.141	
1	1196	18.6425	94.7813	120.123	
1	1213	18.679	94.7477	120.113	
1	1229	18.7238	94.7133	120.103	
1	1246	18.7666	94.6789	120.093	
1	1263	18.7987	94.6443	120.084	
1	1279	18.8384	94.6129	120.073	
